,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Date
0,AdvisorShares Pacific Asset Enhanced Fl Rate,46.85,46.89 - 46.89,,46.89,38.88 - 50.68,,,,,387.0,27380000.0,,- 3.94%,,Other,2020-07-14
0,AdvisorShares Wilshire Buyback,66.71,66.96 - 67.52,,66.96,48.3 - 77.49,,510.0,,,1733.0,152610000.0,,- 4.32%,,Equity,2020-07-14
0,AdvisorShares Sage Core Reserves,98.57,98.62 - 98.62,,98.62,93.52 - 100.35,,12.0,,,3484.0,86990000.0,,- 1.18%,,,2020-07-14
0,Madrona Global Bond,25.62,25.56 - 25.67,,25.56,23.18 - 27.29,,402.0,,,2548.0,19080000.0,,- 0.58%,,,2020-07-14
0,AdvisorShares Dorsey Wright Micro-Cap,21.44,20.82 - 20.82,,20.82,13.03 - 24.57,,207.0,,,745.0,,,- 8.57%,,Equity,2020-07-14
0,Star Global Buy-Write,32.47,32.74 - 32.74,,32.74,25.27 - 36.15,,,,,587.0,17480000.0,,0.09%,,Other,2020-07-14
0,Anfield Universal Fixed Income,9.82,9.82 - 9.86,,9.85,9.11 - 10.49,,4968.0,,,195724.0,,,- 1.31%,,,2020-07-14
0,AGFiQ Global Infrastructure,23.21,23.24 - 23.26,,23.24,17.78 - 28.21,,3670.0,,,269.0,,,- 11.24%,,Equity,2020-07-14
0,AGFiQ Dynamic Hedged U.S. Equity,27.87,28.25 - 28.25,,28.25,21.32 - 28.89,,15.0,,,1898.0,,,6.46%,,Equity,2020-07-14
0,Alpha Architect Value Momentum Trend,22.36,22.37 - 22.6,,22.49,19.7 - 25.75,,4996.0,,,6264.0,,,- 7.64%,,Equity,2020-07-14
0,MomentumShares U.S. Quantitative Momentum,36.54,36.52 - 37.23,,36.55,21.5 - 38.35,,13816.0,,,17445.0,,,10.7%,,Equity,2020-07-14
0,MomentumShares International Quantitative Momentum,26.9,27.02 - 27.32,,27.04,17.14 - 28.24,,9767.0,,,13270.0,,,2.13%,,Equity,2020-07-14
0,Alpha Architect Freedom 100 Emerging Markets,24.53,24.65 - 24.77,,24.65,16.86 - 28.46,,345.0,,,4079.0,,,- 7.3%,,Equity,2020-07-14
0,ALPS Alerian MLP,22.7,22.39 - 22.86,13%,22.64,2.41 - 31.75,5.32,2182258.0,3500000000.0,15.97%,12661911.0,8039999999.999999,1.95,124.31%,154157420.0,Equity,2020-07-14
0,ALPS Sector Dividend Dogs,35.97,35.7 - 36.61,,35.83,26.12 - 47.63,,118427.0,,,181896.0,2063000000.0000002,,- 18.6%,,Equity,2020-07-14
0,ALPS Internatl Sector Dividends Dogs,22.34,22.44 - 22.98,,22.51,16.77 - 28.02,,129372.0,,,42166.0,167900000.0,,- 14.08%,,Equity,2020-07-14
0,ALPS RiverFront Strategic Income,24.5,24.37 - 24.75,,24.75,18.23 - 25.3,,7851.0,,,33864.0,330550000.0,,- 1.53%,,,2020-07-14
0,ALPS Medical Breakthroughs,41.1,40.5 - 42.06,,41.02,25.1 - 45,,42347.0,,,35114.0,100500000.0,,13.82%,,Equity,2020-07-14
0,ALPS Sprott Junior Gold Miners,39.46,39.16 - 40.69,,39.19,16.52 - 41.82,,28032.0,,,32574.0,58690000.0,,24.79%,,Equity,2020-07-14
0,ALPS Sprott Gold Miners,31.92,31.72 - 33.24,,31.86,13.79 - 33.99,,33295.0,,,78697.0,224230000.0,,42.82%,,Equity,2020-07-14
0,ALPS Clean Energy,42.14,41.88 - 44.54,,42.39,23.57 - 44.54,,58168.0,,,35943.0,,,38.94%,,Equity,2020-07-14
0,ALPS Disruptive Technologies,35.21,34.51 - 36.34,,34.93,22.24 - 36.34,,16624.0,,,15168.0,,,13.29%,,Equity,2020-07-14
0,ALPS Alerian Energy Infrastructure,13.21,13.14 - 13.43,,13.14,7.46 - 22.09,,3202.0,,,40877.0,29330000.0,,- 40.63%,,Equity,2020-07-14
0,ALPS Emerging Sector Dividend Dogs,18.83,18.83 - 18.91,,18.83,13.43 - 22.47,,1054.0,,,5846.0,21420000.0,,- 13.47%,,Equity,2020-07-14
0,ALPS Equal Sector Weight,73.47,73.24 - 74.64,,73.24,51.33 - 83.13,,8324.0,,,7550.0,147000000.0,,- 3.35%,,Equity,2020-07-14
0,American Century STOXX U.S. Quality Value,35.83,35.62 - 36.36,,35.62,26.78 - 44.08,,1444.0,,,6613.0,,,- 11.41%,,Equity,2020-07-14
0,American Century Diversified Corporate Bond,52.39,52.25 - 52.5,,52.33,45.74 - 52.76,,8591.0,,,5350.0,,,3.37%,,,2020-07-14
0,Amplify BlackSwan Growth & Treasury Core,31.12,31.1 - 31.37,,31.19,26.39 - 31.38,,189008.0,,,238623.0,,,12.1%,,Equity,2020-07-14
0,Amplify Transformational Data Sharing,21.42,21.01 - 21.55,,21.21,13.04 - 22.07,,44568.0,,,38667.0,,,12.74%,,Equity,2020-07-14
0,Amplify Online Retail,74.5,71.97 - 74.98,,74.02,33.11 - 78.84,,275380.0,,,184514.0,8450000.0,,47.52%,,Equity,2020-07-14
0,Amplify YieldShares CWP Dividend Option Income,28.6,28.72 - 29.41,,28.72,21.39 - 32.82,,8922.0,,,11928.0,3820000.0,,- 7.14%,,Equity,2020-07-14
0,Amplify Seymour Cannabis,11.4,11.34 - 11.59,,11.37,6.48 - 24.98,,1882.0,,,4228.0,,,,,Equity,2020-07-14
0,Amplify EASI Tactical Growth,21.12,21.03 - 21.11,,21.11,18.71 - 28.51,,,,,6250.0,,,- 18.77%,,Equity,2020-07-14
0,Amplify CrowdBureau(R) Peer-to-Peer Lending & Crow,14.45,14.15 - 14.2,,14.17,10 - 24.31,,7691.0,,,582.0,,,- 41.09%,,Equity,2020-07-14
0,Amplify Advanced Battery Metals and Materials,10.11,9.87 - 10.01,,9.94,5.91 - 12,,7049.0,,,8853.0,,,- 9.81%,,Equity,2020-07-14
0,Amplify International Online Retail,35.77,34.95 - 35.69,,35.36,18.57 - 37.05,,27030.0,,,5500.0,,,33.07%,,Equity,2020-07-14
0,Aptus Defined Risk,30.67,30.61 - 31,,30.98,25.83 - 31.1,,24276.0,,,77627.0,,,11.77%,,Other,2020-07-14
0,Aptus Collared Income Opportunity,25.33,25.45 - 25.54,,25.52,21.24 - 27.06,,2520.0,,,15306.0,,,0.44%,,Equity,2020-07-14
0,ARK Innovation,78.14,75.01 - 79.5,,78.1,33 - 84.5,,2042186.0,,,1215290.0,15670000.0,,61.25%,,Equity,2020-07-14
0,ARK Web X.0,93.24,89.52 - 94.3,,92.5,40.49 - 100.85,,1098734.0,,,480297.0,19350000.0,,72.12%,,Equity,2020-07-14
0,ARK Genomic Revolution Multi-Sector,54.53,52.92 - 55.78,,54.18,24 - 58.47,,870546.0,,,610628.0,8340000.0,,62.1%,,Equity,2020-07-14
0,ARK Industrial Innovation,50.51,49.35 - 50.93,,50.2,26.19 - 53.41,,184940.0,,,130425.0,20150000.0,,48.73%,,Equity,2020-07-14
0,ARK Fintech Innovation,33.8,32.68 - 33.8,,33.46,16.94 - 35.51,,347751.0,,,178352.0,,,45.19%,,Equity,2020-07-14
0,The 3D Printing,21.14,20.89 - 21.37,,21.13,13.8 - 23.42,,14306.0,,,21891.0,14900000.0,,- 7.36%,,Equity,2020-07-14
0,ARK Israeli Innovation Hedged,24.0,23.93 - 24.7,,24.17,14 - 25.32,,18608.0,,,24923.0,,,14.92%,,Equity,2020-07-14
0,Arrow Reserve Capital Management,100.36,100.42 - 100.42,,100.42,99.12 - 107.21,,,,,512.0,,,0.14%,,Equity,2020-07-14
0,Arrow Dow Jones Global Yield,11.57,10.88 - 11.58,,11.58,8.47 - 16.5,,20014.0,,,9570.0,100000000.0,,- 30.07%,,,2020-07-14
0,Arrow DWA Country Rotation,24.93,25.93 - 26.28,,25.93,17.38 - 28.87,,1100.0,,,5295.0,,,- 8.91%,,Equity,2020-07-14
0,Arrow QVM Equity Factor,20.84,20.89 - 20.89,,20.89,15.23 - 30.05,,1.0,,,2353.0,3580000.0,,- 25.78%,,Equity,2020-07-14
0,Arrow Investments DWA Tactical,10.32,10.32 - 10.32,,10.32,7.87 - 11.71,,,,,1193.0,9520000.0,,- 8.27%,,Equity,2020-07-14
0,Assured Guaranty Municipal Holdings Inc,25.68,25.78 - 25.92,,25.9,15 - 26.69,,738.0,,,5417.0,,,0.86%,,Other,2020-07-14
0,Barclays Bank iPath Silver ETN,27.44,27.69 - 27.69,,27.69,17 - 28.01,,70.0,,,212.0,,,,,Commodity,2020-07-14
0,Barclays Bank iPath Gold ETN,30.23,30.33 - 30.33,,30.33,23.04 - 30.54,,,,,4255.0,,,,,Commodity,2020-07-14
0,iPath Bloomberg Commodity Total Return Exp 12 June,17.92,17.84 - 18.09,,17.84,15.61 - 23.16,,285334.0,,,236897.0,957480000.0,,- 21.4%,,Commodity,2020-07-14
0,Barclays ETN Plus Select MLP,10.18,10.14 - 10.32,,10.17,5.8 - 20.42,,106836.0,,,96300.0,497800000.0,,- 50.32%,,Equity,2020-07-14
0,iPath S&P GSCI Crude Oil Total Return,35.94,35.9 - 35.95,,35.9,0.51 - 35.98,,1949.0,,,186707.0,,,430.09%,,Commodity,2020-07-14
0,iPath Bloomberg Cocoa Subindex Total Return Exp 24,25.86,25.2 - 25.72,,25.46,24.47 - 34.96,,95833.0,,,24504.0,34830000.0,,- 11.74%,,Commodity,2020-07-14
0,Barclays Bank iPath S&P MLP,8.42,8.43 - 8.52,,8.43,4.68 - 17.37,,879.0,,,682.0,164410000.0,,- 51.5%,,Equity,2020-07-14
0,Barclays + Shiller CAPE Exp 12 Oct 2022,144.32,145 - 146.56,,145.0,100.16 - 156.61,,2354.0,,,5004.0,49190000.0,,3.59%,,Equity,2020-07-14
0,iPath Bloomberg Natural Gas Subindex Total Return,0.021,0.021 - 0.0347,,0.021,0.0035 - 0.18,,,,,14987.0,4230000.0,,- 47.5%,,Commodity,2020-07-14
0,Barclays + S&P VEQTOR Exp 08 Sep 2020,185.62,182 - 185.08,,182.0,155.89 - 203.25,,106.0,,,167.0,211190000.0,,9.52%,,Equity,2020-07-14
0,Barclays Bk PLC iPath Bloomberg Grains Subindex To,18.35,18.35 - 18.84,,18.84,16.56 - 23.05,,,,,2081.0,,,- 23.16%,,Commodity,2020-07-14
0,Barclays Bank Return on Disability,78.29,79.17 - 79.17,,79.17,57.9 - 91.57,,3.0,,,322.0,31280000.0,,- 3.26%,,Equity,2020-07-14
0,Barclays FI Enhanced Europe 50 B,109.69,113.43 - 113.43,,113.43,58.08 - 161.32,,,,,949.0,54590000.0,,- 22.28%,,Equity,2020-07-14
0,iPath Pure Beta Crude Oil Exp 18 Apr 2041,12.2,12.21 - 12.33,,12.21,7.17 - 19.75,,382.0,,,20051.0,28640000.0,,- 33.33%,,Commodity,2020-07-14
0,iPath S&P 500 Dynamic VIX Exp 18 Aug 2021,38.57,38.18 - 39.39,,38.77,17.53 - 51.97,,1387.0,,,2770.0,12190000.0,,117.42%,,Other,2020-07-14
0,Barclays Women in Leadership,66.68,67.96 - 67.96,,67.96,49.64 - 77.24,,,,,402.0,32500000.0,,- 9.67%,,Equity,2020-07-14
0,iPath Pure Beta Broad Commodity Exp 18 Apr 2041,25.63,25.72 - 25.72,,25.72,19.82 - 29.66,,,,,20859.0,49910000.0,,- 9.5%,,Commodity,2020-07-14
0,iPath GSCI Total Return Exp 12 Jun 2036,8.99,8.81 - 9.07,,8.81,5.28 - 15.96,,1404.0,,,22250.0,30520000.0,,- 41.62%,,Commodity,2020-07-14
0,Barclays Bank iPath Bloomberg Lead Sub Total Retur,39.28,38.71 - 38.71,,38.71,33.07 - 49.87,,,,,89.0,1170000.0,,- 6.48%,,Commodity,2020-07-14
0,US Vegan Climate,27.87,27.71 - 28.24,,27.86,18.85 - 29.53,,3852.0,,,6422.0,,,,,Equity,2020-07-14
0,BioShares Biotechnology Products,47.36,47.7 - 48.2,,47.7,30.83 - 49.5,,1031.0,,,2115.0,36580000.0,,19.02%,,Equity,2020-07-14
0,BioShares Biotechnology Clinical Trials,41.04,40.76 - 42.29,,41.55,22.92 - 45.69,,35122.0,,,48350.0,20470000.0,,44.05%,,Equity,2020-07-14
0,iShares Robotics and Artificial Intelligence,30.63,30 - 30.67,,30.42,19.1 - 31.61,,39358.0,,,53354.0,,,21.69%,,Equity,2020-07-14
0,BlackRock MuniAssets Closed Fund,14.06,13.91 - 14.04,-,13.91,9.63 - 16.34,,42155.0,507920000.0,4.48%,56658.0,,0.24,- 9.17%,36124866.0,Other,2020-07-14
0,BlackRock US Equity Factor Rotation,26.35,26.25 - 26.73,,26.25,18.99 - 29.66,,8563.0,,,28578.0,,,- 1.64%,,Equity,2020-07-14
0,iShares iBonds Dec 2025 Term Muni Bond,27.96,27.94 - 28,,27.97,24.07 - 28.04,,29634.0,,,13295.0,,,3.63%,,,2020-07-14
0,iShares MSCI USA Small-Cap ESG Optimized,24.55,24.43 - 24.92,,24.64,16.65 - 29.69,,30915.0,,,108347.0,,,- 9.88%,,Equity,2020-07-14
0,iShares Focused Value Factor,32.04,31.8 - 32.27,,31.8,25.83 - 51.36,,3315.0,,,1538.0,,,- 36.02%,,Equity,2020-07-14
0,iShares Inflation Hedged Corporate Bond,26.97,26.95 - 27.07,,26.99,19.5 - 27.62,,27010.0,,,1618.0,,,4.37%,,,2020-07-14
0,iShares MSCI Japan Value,22.34,22.22 - 22.38,,22.22,18.38 - 27.11,,4952.0,,,2813.0,,,- 9.26%,,Equity,2020-07-14
0,iShares MSCI Japan Equal Weighted,32.67,32.71 - 32.88,,32.71,25.02 - 37.07,,230.0,,,826.0,,,- 0.79%,,Equity,2020-07-14
0,iShares US Aggregate Bond Acc,5.9,5.86 - 5.887,,5.887,4.75 - 6.76,,369039.0,,,183774.0,,,,,,2020-07-14
0,iShares $ Short Duration Corp Bond Acc,5.5904,5.5858 - 5.5888,,5.5858,4.75 - 5.7,,,,,177351.0,,,,,,2020-07-14
0,iShares $ Treasury Bond 3-7Yr UCITS Acc,141.3607,141.881 - 141.881,,141.881,131 - 141.881,,,,,26127.0,,,,,,2020-07-14
0,iShares $ Floating Rate Bond UCITS Acc USD,5.2727,5.2727 - 5.275,,5.2727,4.5207 - 5.2959,,,,,147904.0,,,,,,2020-07-14
0,iShares Edge MSCI World Min Vol,49.265,48.946 - 49.125,,48.946,38.92 - 54.9,,11051.0,,,11972.0,,,,,Equity,2020-07-14
0,iShares $ High Yield Corp Bond Acc Share Class,5.63,5.525 - 5.537,,5.525,4.415 - 5.82,,101228.0,,,107408.0,,,,,,2020-07-14
0,BMO REX MicroSectors FANG Index 3X Leveraged,132.97,119.61 - 136.35,,130.0,23.01 - 162.48,,1171674.0,,,462892.0,,,228.97%,,Equity,2020-07-14
0,BMO REX MicroSectors FANG Index -3X Inverse Levera,1.62,1.58 - 1.8,,1.67,1.33 - 25.73,,15869932.0,,,2175576.0,,,- 92.01%,,Equity,2020-07-14
0,Bank of Montreal MicroSectors FANG Index 2X Invers,9.29,9.13 - 9.84,,9.65,8.14 - 51.13,,8120.0,,,1827.0,,,- 78.66%,,Equity,2020-07-14
0,Bank of Montreal MicroSectors FANG Index Inverse E,23.98,23.75 - 24.67,,24.11,22.5 - 52.91,,14945.0,,,3133.0,,,- 50.68%,,Equity,2020-07-14
0,Bank of Montreal MicroSectors FANG Index 2X Levera,106.13,99.82 - 108.2,,104.98,32.54 - 122.09,,54108.0,,,14525.0,,,157.41%,,Equity,2020-07-14
0,MicroSectors US Big Banks Index 3X Leveraged,12.19,11.37 - 12.14,,11.91,7.04 - 81.58,,88907.0,,,98364.0,,,- 78.28%,,Equity,2020-07-14
0,MicroSectors US Big Banks Index 3X Inverse Leverag,13.15,13.24 - 14.14,,13.53,9 - 97.12,,31252.0,,,27322.0,,,- 67.75%,,Equity,2020-07-14
0,MicroSectors US Big Banks Index 2X Leveraged,26.9,26.43 - 26.43,,26.43,16.73 - 71.67,,3.0,,,165.0,,,- 50.74%,,Equity,2020-07-14
0,MicroSectors US Big Banks Index 2X Inverse Leverag,28.13,28.62 - 28.62,,28.62,22.16 - 78.25,,,,,212.0,,,- 36.16%,,Equity,2020-07-14
0,MicroSectors U S Big Banks Index 2X Inverse Levera,43.38,43.71 - 43.71,,43.71,34.99 - 87.67,,2.0,,,578.0,,,- 8.02%,,Equity,2020-07-14
0,MicroSectors US Big Oil Index 3X Leveraged,3.01,2.9 - 3.35,,2.93,1.1 - 55.19,,5261076.0,,,4315388.0,,,- 93.85%,,Equity,2020-07-14
0,MicroSectors US Big Oil Index 3X Inverse Leveraged,20.9,18.56 - 21.53,,21.4,10.75 - 304.72,,147398.0,,,47154.0,,,- 54.61%,,Equity,2020-07-14
0,MicroSectors US Big Oil Index 2X Leveraged,12.89,13.7 - 13.83,,13.7,5.53 - 52.99,,495.0,,,1632.0,,,- 74.19%,,Equity,2020-07-14
0,MicroSectors US Big Oil Index 2X Inverse Leveraged,40.66,37.69 - 37.69,,37.69,25.59 - 188.47,,2.0,,,297.0,,,- 15.04%,,Equity,2020-07-14
0,MicroSectors US Big Oil Index Inverse,53.89,51.91 - 51.91,,51.91,42.12 - 104.7,,,,,88.0,,,9.51%,,Equity,2020-07-14
0,Motley Fool 100,29.17,28.54 - 29.52,,28.91,18.86 - 30.31,,82235.0,,,75126.0,,,26.06%,,Equity,2020-07-14
0,Breakwave Dry Bulk Shipping,8.1,7.6 - 8,,7.8,3.8 - 22.19,,201119.0,,,254154.0,,,- 51.23%,,Commodity,2020-07-14
0,Cambria Tail Risk,22.2,22.12 - 22.36,,22.36,19.22 - 27.23,,171717.0,,,297823.0,,,11%,,Equity,2020-07-14
0,Cambria Global Value,17.95,18.02 - 18.15,,18.06,13.69 - 24.39,,18489.0,,,24610.0,95140000.0,,- 25.15%,,Equity,2020-07-14
0,Cambria Global Momentum,23.69,23.62 - 23.9,,23.72,20.69 - 26.36,,6647.0,,,13146.0,42000000.0,,- 6.29%,,,2020-07-14
0,Cambria Emerging Shareholder Yield,28.3,28.06 - 28.58,,28.28,18.85 - 33.48,,3761.0,,,5222.0,,,- 11.15%,,Equity,2020-07-14
0,Cambria Global Asset Allocation,25.85,25.21 - 26.05,,25.89,19.45 - 28.53,,37496.0,,,9164.0,32490000.000000004,,- 5.21%,,Other,2020-07-14
0,Cambria Shareholder Yield,31.58,31.52 - 32.19,,31.52,21.81 - 40.68,,1318.0,,,11739.0,133460000.00000001,,- 13.55%,,Equity,2020-07-14
0,Cambria Core Equity,27.64,27.37 - 27.84,,27.37,22.88 - 30.66,,37760.0,,,27045.0,,,0.77%,,Equity,2020-07-14
0,Cambria Cannabis,12.4,12.27 - 12.52,,12.4,7.85 - 26.5,,4970.0,,,7884.0,,,,,Equity,2020-07-14
0,Cambria Value and Momentum,16.11,16.1 - 16.59,,16.1,12.54 - 20.88,,296.0,,,1709.0,7150000.0,,- 21.3%,,Equity,2020-07-14
0,Cambria Foreign Shareholder Yield,19.44,19.62 - 19.76,,19.62,14.09 - 24.82,,350.0,,,3563.0,40480000.0,,- 15.77%,,Equity,2020-07-14
0,Cambria Sovereign Bond,24.73,24.34 - 24.34,,24.34,18.01 - 28,,76.0,,,1097.0,,,- 5.21%,,,2020-07-14
0,ERShares Non US Small Cap,17.79,17.65 - 17.73,,17.65,10.41 - 18.14,,555.0,,,80.0,,,4.34%,,Equity,2020-07-14
0,Citigroup C-Tracks Miller/Howard MLP Fundamental,6.62,6.62 - 6.62,,6.62,4.28 - 14,,162.0,,,5180.0,126560000.0,,- 52.61%,,Equity,2020-07-14
0,Citigroup C-Tracks Miller/Howard Strategic Dividen,26.54,26.81 - 26.81,,26.81,17.99 - 37.16,,20.0,,,459.0,120720000.0,,- 23.85%,,Equity,2020-07-14
0,Citigroup C Tracks Miller Howard MLP Fundamental B,10.05,9.98 - 10.07,,9.98,6.16 - 21.36,,780.0,,,251.0,,,- 52.3%,,Equity,2020-07-14
0,Columbia EM Consumer,24.31,23.83 - 24.21,,23.9,17.37 - 24.77,,38361.0,,,74670.0,691630000.0,,7.38%,,Equity,2020-07-14
0,Columbia EM Core ex-China,23.44,23.36 - 23.71,,23.42,16.43 - 28.59,,7973.0,,,8129.0,10910000.0,,- 12.96%,,Equity,2020-07-14
0,Columbia India Consumer,39.16,38.42 - 39.16,,38.52,26.16 - 44.56,,2788.0,,,7821.0,92710000.0,,- 2.47%,,Equity,2020-07-14
0,Columbia Sustainable US Equity Income,24.29,24.49 - 24.62,,24.49,18 - 31.12,,100.0,,,811.0,5610000.0,,- 13.8%,,Equity,2020-07-14
0,Columbia Sustainable International Equity Income,21.3,21.61 - 21.7,,21.61,16.69 - 26.83,,110.0,,,578.0,6630000.0,,- 15.21%,,Equity,2020-07-14
0,Columbia Multi Sector Municipal Income,21.83,21.8 - 21.85,,21.85,19.38 - 23.07,,11831.0,,,9150.0,,,1.87%,,,2020-07-14
0,Columbia Diversified Fixed Income Allocation,21.2,21.21 - 21.38,,21.34,16.95 - 21.72,,240129.0,,,155756.0,,,4.06%,,,2020-07-14
0,Victory CEMP Developed Enhanced Volatility Weighte,26.95,27.03 - 27.24,,27.03,21.76 - 33.86,,8849.0,,,17433.0,43490000.0,,- 15.78%,,Equity,2020-07-14
0,Victory CEMP US Discovery Enhanced Volatility Weig,38.17,38.23 - 38.74,,38.27,31.28 - 42.21,,13507.0,,,16152.0,40040000.0,,0.85%,,Equity,2020-07-14
0,Victory CEMP US 500 Volatility Weighted,50.52,50.27 - 51.34,,50.27,35.41 - 58.35,,47513.0,,,74963.0,142750000.0,,- 5.53%,,Equity,2020-07-14
0,Victory CEMP US Small Cap High Dividend Volatility,35.42,35.32 - 35.98,,35.46,26.8 - 47.69,,3688.0,,,18789.0,24330000.0,,- 20.44%,,Equity,2020-07-14
0,Victory CEMP US Large Cap High Div Volatility Weig,39.28,38.9 - 39.73,,38.97,29.35 - 51.01,,19197.0,,,21067.0,89070000.0,,- 17.84%,,Equity,2020-07-14
0,Victory CEMP US EQ Income Enhanced Volatility Weig,46.37,46.12 - 46.77,,46.28,38.3 - 51.08,,120895.0,,,37626.0,345030000.0,,0.24%,,Equity,2020-07-14
0,Victory CEMP US 500 Enhanced Volatility Weighted,51.83,51.76 - 52.31,,51.76,43.06 - 54.36,,14326.0,,,35907.0,277030000.0,,4.12%,,Equity,2020-07-14
0,Victory CEMP International High Dividend Volatilit,25.75,25.64 - 26.09,,25.64,19.7 - 34.41,,6588.0,,,5105.0,24020000.0,,- 21.21%,,Equity,2020-07-14
0,Victory CEMP US Small Cap Volatility Weighted,39.02,39.22 - 39.49,,39.22,28.5 - 50.4,,2765.0,,,2453.0,,,- 15.3%,,Equity,2020-07-14
0,Victory CEMP International Volatility Weighted,35.12,35.57 - 35.68,,35.57,26.15 - 40.23,,2603.0,,,8975.0,11830000.0,,- 8.25%,,Equity,2020-07-14
0,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort,3.2,3 - 3.34,,3.0,0.52 - 28.39,,1099013.0,,,1839279.0,27060000.0,,- 86.41%,,Equity,2020-07-14
0,Credit Suisse X Links Gold Shares Covered Call,9.96,9.95 - 10.03,,9.98,8.26 - 10.36,,54969.0,,,47123.0,53450000.0,,11.28%,,Commodity,2020-07-14
0,Credit Suisse X Links Silver Shares Covered Call,6.62,6.63 - 6.74,,6.74,4.37 - 7.48,,18574.0,,,28836.0,44850000.0,,- 0.75%,,Commodity,2020-07-14
0,Credit Suisse FI Large Cap Growth Enhanced,379.23,366.88 - 386.46,,373.21,160 - 394,,9303.0,,,88807.0,911790000.0,,31.24%,,Equity,2020-07-14
0,Credit Suisse SP MLP,7.0,7 - 7,,7.0,3.65 - 13.99,,,,,2541.0,84330000.0,,- 49.87%,,Equity,2020-07-14
0,CSOP FTSE China A50 US,19.45,19.16 - 19.47,,19.16,14.08 - 19.94,,3287.0,,,6198.0,5600000.0,,11.59%,,Equity,2020-07-14
0,Davis Select Financial,18.85,18.72 - 18.97,,18.83,14 - 26.29,,8089.0,,,25357.0,15250000.0,,- 19.86%,,Equity,2020-07-14
0,Davis Select Worldwide,24.89,24.59 - 24.89,,24.68,16.7 - 26.42,,18138.0,,,45066.0,13140000.0,,6.19%,,Equity,2020-07-14
0,Davis Select International,19.31,19.22 - 19.35,,19.22,12.99 - 20.04,,4592.0,,,65470.0,,,9.84%,,Equity,2020-07-14
0,Xtrackers MSCI USA ESG Leaders Equity,28.8,28.78 - 29.23,,28.78,20.11 - 31.47,,17766.0,,,353878.0,,,6.16%,,Equity,2020-07-14
0,Defiance Next Gen Connectivity,27.23,27.03 - 27.67,,27.16,18.66 - 28,,158630.0,,,191834.0,,,10.33%,,Equity,2020-07-14
0,DeltaShares S&P 500 Managed Risk,57.89,57.05 - 58.08,,57.95,51.33 - 64.67,,67934.0,,,14701.0,,,- 0.43%,,Equity,2020-07-14
0,DeltaShares S&P International Managed Risk,44.27,44.18 - 44.44,,44.18,40.4 - 52.56,,236.0,,,2354.0,,,- 9.97%,,Equity,2020-07-14
0,DeltaShares S&P 400 Managed Risk,47.24,47.29 - 47.55,,47.44,43.35 - 55.42,,320.0,,,1272.0,,,- 10.34%,,Equity,2020-07-14
0,DeltaShares S&P EM 100 & Managed Risk,48.47,48.29 - 48.53,,48.29,43.23 - 54.03,,110.0,,,512.0,,,- 2.67%,,Other,2020-07-14
0,Xtrackers S&P 500 ESG,27.82,27.57 - 28.18,,27.76,19.29 - 29.56,,52533.0,,,147866.0,,,7.54%,,Equity,2020-07-14
0,Xtrackers MSCI ACWI ex USA ESG Leaders Equity,26.41,26.42 - 26.69,,26.42,19.06 - 28.55,,1067.0,,,598.0,,,- 0.23%,,Equity,2020-07-14
